epoch,train_loss,val_mse,val_mae,val_rmse
1,6148.23571080203,4000.8203,48.758034,63.252037
2,3561.134508315334,3303.0137,46.269333,57.47185
3,3341.751167773997,3284.9707,46.50622,57.314663
4,3338.334860495663,3284.9976,46.54083,57.3149
5,3338.374667872326,3284.9458,46.521973,57.314445
6,3340.096533533467,3284.5645,46.51913,57.31112
7,3343.511811974905,3281.6562,46.52468,57.285744
8,3258.0637532314,3101.4912,45.147133,55.691032
9,1613.5147316479818,1295.128,23.873247,35.98789
10,1079.8923917533116,1002.40845,21.24344,31.660835
11,904.3993971361905,980.3527,21.067713,31.310585
12,775.7537814677579,1022.75903,21.68993,31.980604
13,637.5129722618,1106.3225,22.918589,33.261425
14,462.77172302666463,1122.9961,22.851566,33.511135
15,321.61842866721923,1103.9614,21.989555,33.225914
16,223.38425988175064,1183.8916,23.30192,34.407726
17,152.55119345957874,1205.5814,23.767391,34.721485
18,107.02854605785357,1186.1073,22.99089,34.439907
19,79.25038663457602,1225.6982,23.690504,35.00997
20,65.4510983924961,1258.6135,24.44725,35.476944
21,49.74699922409239,1265.1426,24.289871,35.568844
22,42.34678658737506,1207.5728,24.006071,34.75015
23,24.472258279795415,1264.1007,24.74267,35.554195
24,21.22420712636842,1266.4989,24.715897,35.587902
25,19.899242760981505,1242.1075,24.557947,35.243546
26,17.998131019800145,1276.6619,25.24259,35.730404
27,15.93706700337858,1275.0012,25.014921,35.70716
28,14.705297974627001,1267.3534,24.95716,35.599907
29,14.069332460980169,1242.073,24.651934,35.243057
30,12.179681123222128,1243.0604,24.736687,35.25706
31,11.940283356647559,1233.7583,24.692791,35.124897
32,10.832025996653611,1248.335,24.699682,35.331783
33,10.57215870100263,1239.2625,24.471409,35.20316
34,7.050589273738391,1271.5828,24.981537,35.65926
35,6.7522130865657495,1262.0737,24.819479,35.525677
36,6.4398318492001,1265.4963,24.777231,35.573814
