epoch,train_loss,val_mse,val_mae,val_rmse
1,7885.834322905287,6129.245,60.45275,78.2895
2,5396.588335610376,4395.3066,50.97623,66.29711
3,4142.945306059933,3580.1797,46.96142,59.834602
4,3590.113427295985,3262.404,45.752426,57.11746
5,3391.234169499779,3168.9797,45.651638,56.293694
6,3337.7433639955543,3150.3525,45.786884,56.128002
7,3327.7650914055052,3148.4724,45.883835,56.11125
8,3326.4768589176774,3148.587,45.91388,56.11227
9,3326.366805790226,3148.5564,45.909996,56.112
10,3326.350157556635,3148.8506,45.936985,56.11462
11,3296.859741424313,2665.445,40.225075,51.62795
12,2133.2952368951615,1446.4458,28.448349,38.03217
13,1189.6492331198851,862.7066,17.73015,29.371868
14,955.590721926893,1304.7245,28.516396,36.12097
15,820.1242253297314,611.279,16.007582,24.724056
16,698.3603093674503,690.89636,17.47442,26.284908
17,641.0661219559431,691.3725,17.237823,26.293962
18,595.742993264931,682.4465,17.87049,26.123676
19,537.3982677450624,697.6368,15.957959,26.412815
20,476.7976534770855,627.6916,16.41598,25.053774
21,420.51279980598713,681.53503,16.747982,26.106226
22,365.03830739968004,753.281,18.941343,27.445965
23,307.01515617958603,698.09064,17.582851,26.421406
24,267.137081242623,769.2739,18.292244,27.735788
25,221.96985738061105,1037.8622,20.91181,32.21587
26,187.75741267147455,788.6001,17.333088,28.082024
27,130.47000450256726,844.03296,17.656403,29.052246
28,110.50681939572877,891.40283,18.16527,29.85637
29,102.4167018680036,904.6075,19.180696,30.076693
30,85.56066617567134,920.25836,18.818241,30.33576
31,76.86216472636038,944.459,18.755087,30.732052
32,66.6786416019068,922.626,18.703176,30.37476
33,73.43111811452539,948.7227,18.494705,30.801342
34,55.595733832918974,946.5965,18.996466,30.766808
35,50.0754709242259,974.6248,19.381138,31.21898
36,46.40434926601466,1000.68823,19.913166,31.633657
37,41.291142993334766,1022.8326,19.82911,31.981754
38,34.47199113543644,1002.1215,19.831861,31.656303
39,32.74950943860003,1031.6198,20.022789,32.11884
40,30.218895652421836,1045.6842,19.766417,32.33704
