epoch,train_loss,val_mse,val_mae,val_rmse
1,17727.765119902706,14804.606,89.27402,121.67418
2,13206.413862801777,11392.327,76.508224,106.73485
3,10656.37520265489,9543.368,70.70766,97.69016
4,9368.430928129828,8689.04,69.02413,93.21502
5,8837.307481981577,8371.746,69.15359,91.497246
6,8662.972627299301,8274.896,69.68709,90.96646
7,8627.491466566009,8258.224,70.06363,90.87477
8,9500.269862519908,8423.913,67.27612,91.781876
9,6875.654721957491,4755.1016,43.02504,68.957245
10,4436.677595103661,4014.593,41.124683,63.360817
11,3696.3072663912694,3317.8865,39.189213,57.601097
12,3290.721366557976,3066.254,36.032215,55.373764
13,3016.9108504892915,2831.3916,34.43593,53.210823
14,2846.564383920511,2721.6375,35.341003,52.169315
15,2757.8825367907943,3037.955,34.265217,55.11765
16,2656.1054503016294,2934.601,35.88106,54.17196
17,2592.2277552071837,2930.242,34.357437,54.13171
18,2810.2938960809133,3469.1409,36.41178,58.899414
19,2554.1157495126427,2863.4531,35.12002,53.511242
20,2400.0119463517685,2633.867,35.082027,51.321213
21,2298.3476132551327,2987.1519,33.549915,54.654842
22,2227.636343449621,3250.67,34.56812,57.01465
23,2187.5675243013397,2697.8086,34.005775,51.940434
24,2210.719588815692,3124.2437,35.0776,55.894936
25,2186.0998580430214,2915.432,33.54749,53.99474
26,2141.710662637756,3138.8257,33.701286,56.025223
27,2117.9095066148034,3061.4836,34.95515,55.330677
28,2108.7084905192005,2980.0298,34.241364,54.58965
29,2083.58983329387,2921.2363,34.572327,54.048462
30,2080.198364912283,2755.2766,31.72792,52.49073
31,2057.6779171955814,2718.8008,32.767834,52.14212
32,1966.4492593117766,3098.469,33.80905,55.663895
33,2065.579555564891,3023.1155,33.238102,54.982864
34,2056.974284618999,2956.1384,34.216187,54.37038
35,2046.5490962577464,3053.131,34.150024,55.255146
36,2012.9330291805795,3025.383,33.902653,55.003483
37,2003.0917162750231,3066.5156,34.27509,55.37613
38,1986.6514828670997,3129.4255,33.71526,55.94127
39,1979.6684491160058,3064.1204,34.124687,55.354496
40,1967.7447391190956,2937.8923,33.29575,54.202328
41,1940.7397091354114,3050.5327,34.93891,55.23163
42,1949.0145911212767,2996.7986,34.542225,54.743023
43,1860.1636373559118,3068.9536,33.715862,55.398136
44,1891.1547876509378,3058.4832,34.25342,55.303555
45,1858.2430239903968,3242.7798,35.286396,56.94541
