epoch,train_loss,val_mse,val_mae,val_rmse
1,6192.790172285577,4029.2678,48.88869,63.476513
2,3578.116326453053,3307.9617,46.25583,57.51488
3,3343.4917501985624,3285.5903,46.50423,57.32007
4,3338.17076171756,3285.5708,46.530003,57.3199
5,3338.2735877907485,3285.6155,46.541656,57.32029
6,3331.9613090752755,2696.3135,39.336933,51.926037
7,1708.9066428503447,1471.1187,28.93893,38.355164
8,1257.5685083562846,1240.5944,25.436893,35.222073
9,846.5239818184948,1305.9984,25.969603,36.1386
10,399.3623943457897,1346.9333,26.250006,36.700592
11,191.41727769435153,1564.6145,27.957376,39.55521
12,115.7315080315683,1449.1183,26.793816,38.067287
13,74.22218585692966,1517.9609,27.246777,38.961018
14,53.94721286711138,1476.5491,26.746124,38.42589
15,41.23732619309706,1536.5555,27.5568,39.19892
16,34.667708174230675,1503.2687,28.11289,38.77201
17,25.95371800697779,1558.1307,28.631792,39.473164
18,26.792323252862236,1543.2749,28.00988,39.28454
19,17.813268084074714,1553.37,27.94203,39.412815
20,8.898281517837923,1556.9512,27.892822,39.45822
21,7.9557741882959885,1510.1271,27.363014,38.860355
22,7.974763064728276,1541.411,28.005478,39.260807
23,7.085574967977283,1559.9592,28.022806,39.49632
24,6.994867163238646,1554.3008,27.939697,39.42462
25,6.44407858673903,1565.2144,27.97375,39.56279
26,5.964443364076236,1576.9764,28.03647,39.711163
27,5.795708858299104,1568.3373,28.07347,39.602238
28,5.0489525756329074,1543.331,27.828112,39.28525
29,5.206002680774493,1581.1917,28.284681,39.764202
30,5.112058329598199,1586.439,28.411808,39.830128
31,2.235351260433382,1567.1167,28.099571,39.586826
32,2.149544331842449,1571.9684,28.271221,39.648056
33,2.4884332126358304,1607.3114,28.54274,40.09129
