epoch,train_loss,val_mse,val_mae,val_rmse
1,11625.975254080677,8030.693,66.800934,89.614136
2,6874.448454107749,6400.4507,62.845535,80.002815
3,6316.741572734985,6320.9346,63.426872,79.5043
4,6301.482643684364,6319.9575,63.472107,79.49816
5,6301.8044031506815,6319.106,63.546215,79.492805
6,6303.406695246208,6318.7397,63.56257,79.4905
7,6261.2077150586765,6099.5,61.174828,78.0993
8,4775.277330410255,3086.6848,38.52965,55.55794
9,2750.477836341587,2198.2205,32.175983,46.885185
10,2073.301630393866,2189.197,31.92237,46.788857
11,1441.2941369226385,2486.7012,35.298656,49.866833
12,841.9666879107151,2635.235,36.532997,51.33454
13,511.543735425824,2595.875,35.77812,50.94973
14,311.9885901341993,2582.7112,34.559402,50.82038
15,217.10766520964972,2759.514,35.980286,52.531075
16,170.55557986176646,2578.2402,34.92329,50.776375
17,143.14121382394748,2638.463,35.279545,51.36597
18,139.6554528461978,2894.5198,37.276302,53.800743
19,82.01301483166138,2746.3591,36.54445,52.405716
20,56.283080263853385,2665.787,35.83675,51.63126
21,80.85732171422843,2764.8296,37.38225,52.581646
22,46.030462729513225,2612.241,35.47727,51.11009
23,32.113076606239765,2692.117,36.143436,51.885612
24,28.616588314990004,2774.047,36.51733,52.669224
25,26.467529226895692,2816.4954,36.990047,53.070663
26,23.7482221362591,2855.278,36.934864,53.434803
27,21.123507104180707,2810.0857,36.34115,53.010242
28,18.95049730582422,2858.839,36.849888,53.468113
29,22.486991047425462,3087.8594,37.513893,55.568512
30,22.042056622282075,2867.2856,36.853218,53.547043
31,13.653414812518225,2919.2898,37.401154,54.030453
32,12.707269536676357,2876.077,37.015266,53.629066
33,10.728866596244732,2918.624,37.181877,54.024292
34,10.418322697342878,2905.3652,37.041607,53.90144
35,9.660585962664161,2925.5413,37.228874,54.088272
