epoch,train_loss,val_mse,val_mae,val_rmse
1,17506.971023309427,14442.322,87.37618,120.176216
2,12827.951544520412,11036.571,74.85271,105.055084
3,10250.413939105849,9210.295,69.388664,95.97028
4,8947.068777092529,8374.909,67.98299,91.51453
5,8398.055410008472,8068.7046,68.29838,89.825966
6,8212.504907934663,7876.0215,68.04754,88.74695
7,5518.690281355907,4510.3594,38.910095,67.15921
8,4024.766768797289,3547.1396,34.891605,59.55787
9,3190.7453213050717,3001.483,32.84069,54.78579
10,2665.996560665097,2752.0579,32.36216,52.46006
11,2236.328270529979,2358.325,30.68145,48.562588
12,1951.8703841643555,2114.9314,29.22517,45.988384
13,1740.8502978330903,1932.2954,28.641447,43.957882
14,1538.3987140746917,1766.8434,27.649641,42.033836
15,1399.7350090883117,1993.4526,28.485308,44.648098
16,1299.5769004792915,1654.1548,27.069311,40.671303
17,1160.9339557431235,1781.3296,28.203917,42.2058
18,1050.7845065834845,1969.7946,30.1699,44.382366
19,961.8061647201096,1911.4716,30.165552,43.72038
20,877.3064727937137,2116.519,31.458374,46.005642
21,834.322677262103,1979.0685,29.979103,44.48672
22,731.6891149994705,2041.9119,30.29521,45.18752
23,640.1231331670119,2080.583,30.2602,45.613407
24,588.16866493177,2222.3486,31.079473,47.141792
25,558.1058301177632,2140.9626,30.428905,46.27054
26,441.21391656979034,2089.3372,29.959032,45.709267
27,435.52741848535527,1862.5421,28.899961,43.15718
28,331.0948673435899,2076.6711,29.949883,45.570507
29,303.37368309723325,2439.669,31.593063,49.393005
30,276.8430008704244,2265.2764,31.158306,47.59492
31,237.8275740191735,2351.3582,30.961918,48.490807
32,216.38487170052258,2243.1272,31.269405,47.361664
33,125.29532343899317,1980.7065,29.624126,44.50513
34,100.9835281025717,2110.6199,30.376028,45.941483
35,84.0281970092658,2108.4255,30.23479,45.917595
36,86.78451721845629,2256.5718,29.976713,47.503387
37,125.00285585891704,2185.2112,30.541533,46.746243
38,67.89050528585234,2037.6843,30.12764,45.140717
39,75.69329818831416,2193.198,30.633104,46.831593
40,47.1711074376918,2172.6543,30.555367,46.61174
41,42.97171459654992,2134.423,30.56643,46.199818
