epoch,train_loss,val_mse,val_mae,val_rmse
1,6117.670771173656,4119.5796,49.018215,64.18395
2,3529.7919720681457,3413.1694,46.556377,58.422337
3,3315.2293920669267,3394.3533,46.763885,58.261078
4,3311.216004243874,3393.9446,46.791534,58.257572
5,3310.9221094083337,3395.0635,46.73498,58.267174
6,3311.4468443090564,3394.7097,46.747967,58.264137
7,3311.4448313021912,3393.992,46.786583,58.257977
8,2979.3212529086754,1994.1703,30.688997,44.656136
9,1552.6082125194885,1494.0977,27.408388,38.65356
10,1265.951426060421,1277.2572,25.54397,35.738735
11,1040.1638646100798,1113.8528,23.116066,33.37443
12,931.96429993963,1021.7368,21.727669,31.964619
13,826.2065475670344,1444.6615,25.113344,38.0087
14,776.5382513418061,1006.30164,21.104805,31.722258
15,737.2714182281587,1073.0408,22.117607,32.7573
16,658.4663777131068,1064.0286,22.333296,32.61945
17,527.9864627252654,1305.7482,23.74158,36.13514
18,368.8545128500172,1319.7987,25.293709,36.329033
19,251.13555462697823,1318.7482,23.918692,36.31457
20,168.1439966027161,1408.2208,25.67518,37.526268
21,122.47994424795996,1454.5087,25.50053,38.13802
22,92.80792962994704,1239.0746,23.546616,35.200493
23,73.72927422844955,1219.6044,22.902735,34.922836
24,62.25432668237385,1306.7324,24.177896,36.148754
25,52.70467891504775,1263.2513,23.422169,35.542248
26,29.217639157645053,1270.7468,23.605898,35.647537
27,26.32557357789016,1288.8071,24.051731,35.89996
28,24.803660685153147,1280.5648,23.780218,35.78498
29,22.40122267241654,1268.0331,23.674389,35.60945
30,20.327483679308596,1275.8329,23.831284,35.718803
31,18.721586815688607,1269.7631,23.600475,35.633736
32,17.990007803932162,1280.5297,23.963896,35.78449
33,16.29054252487791,1280.9236,23.529915,35.789993
34,16.4065635903905,1324.3163,24.258741,36.391155
35,13.64643442771732,1313.3252,24.23313,36.23983
36,13.705250345583764,1284.3286,23.833326,35.837532
37,8.419908545997599,1281.0227,23.584766,35.791378
38,8.357653811662994,1315.9657,23.89401,36.27624
39,7.824861286879022,1291.7726,23.855091,35.94124
