epoch,train_loss,val_mse,val_mae,val_rmse
1,11738.76083609923,7700.0366,66.03014,87.749855
2,6950.524882724862,6145.8687,62.38003,78.39559
3,6377.457648597638,6080.0317,63.076202,77.974556
4,6361.286099251256,6080.636,63.162254,77.97843
5,6361.244108856345,6081.1655,63.198914,77.98183
6,6361.444357448565,6081.5244,63.22036,77.98413
7,6361.377845734595,6080.2095,63.117558,77.9757
8,6361.014411218259,6080.0215,63.107136,77.974495
9,5613.19481963769,3541.1963,43.319134,59.50795
10,3550.1335211700743,3276.8508,42.8284,57.243786
11,3454.5237029525133,3118.9111,39.820274,55.847214
12,2730.2008778904496,2554.8481,37.686344,50.545506
13,2272.8865944638487,2248.6404,34.261284,47.41983
14,2114.6142607254565,2358.89,34.709442,48.568405
15,2009.4391375297969,2271.057,33.777065,47.655605
16,1959.5844936693734,1981.2728,32.854645,44.51149
17,1882.9946153622463,1966.6938,31.273165,44.347424
18,1818.9367236099072,2165.655,32.888714,46.5366
19,1748.8140842251794,2058.8562,33.083347,45.374622
20,1659.4362277101552,2100.255,31.865097,45.828537
21,1537.3633107032285,2376.9023,33.73023,48.753487
22,1404.0532230919487,2259.225,32.30803,47.531307
23,1203.0255165045635,2415.7593,33.78024,49.150375
24,1036.9985626924044,2435.2256,34.12554,49.348003
25,875.9785784402965,2376.528,34.31607,48.749645
26,719.7321229483822,2391.102,34.717556,48.898895
27,582.2456964488518,2473.7388,35.11069,49.736694
28,499.99882767809765,2597.0415,35.35795,50.961178
29,337.2801570157093,2491.0283,34.60849,49.910202
30,301.2735191779357,2617.8806,34.982067,51.16523
31,241.83832914946444,2419.7275,34.41481,49.190727
32,229.79399098927894,2553.9246,34.297863,50.53637
33,191.40685734057362,2576.604,34.689445,50.76026
34,166.8303489552793,2535.7666,34.916504,50.356396
35,159.75729950841242,2526.4868,34.81511,50.26417
36,141.16472323077468,2548.377,35.113033,50.481453
37,143.01628232143275,2545.4343,34.821125,50.452297
38,108.24745535028727,2489.0405,34.72636,49.890285
39,140.5937129080405,2565.6199,34.94092,50.651947
40,68.3693558235643,2592.802,34.997078,50.919563
41,58.226644433908696,2556.2864,34.588722,50.55973
42,57.82771026857186,2624.8755,35.06022,51.23354
