fold,mse,mae,rmse,hist
1,3647.91,41.907173,60.39793,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD003_RNN_fold1_hist.csv
2,1630.035,26.894796,40.37369,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD003_RNN_fold2_hist.csv
3,2633.867,35.082027,51.321213,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD003_RNN_fold3_hist.csv
4,2170.7612,31.465645,46.591427,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD003_RNN_fold4_hist.csv
5,2493.8125,33.56897,49.938087,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD003_RNN_fold5_hist.csv
