epoch,train_loss,val_mse,val_mae,val_rmse
1,11559.291383012504,8763.474,68.0365,93.61343
2,6744.28683262668,7018.3,64.11764,83.77529
3,6166.813084448428,6921.284,64.80032,83.19425
4,6150.725022306204,6918.584,64.92692,83.178024
5,6151.14437522112,6920.7446,64.818474,83.19101
6,6151.0214119632565,6920.6724,64.82103,83.19058
7,6150.843278601543,6919.5522,64.869255,83.183846
8,6151.269946297778,6919.004,64.89893,83.18055
9,6151.045039979848,6924.681,64.709526,83.21467
10,6150.982508953359,6917.908,65.00979,83.173965
11,6150.624658833117,6921.2124,64.80266,83.193825
12,6151.151652962388,6919.9414,64.85106,83.18619
13,6151.09715258001,6920.276,64.836716,83.188194
14,6400.706867153236,6924.201,64.720566,83.211784
15,6151.2080625944245,6920.6226,64.82263,83.19028
16,6150.806237255732,6920.3237,64.83435,83.188484
17,6150.535498948287,6929.6567,64.58803,83.24456
18,6027.980545917811,6916.7607,65.07036,83.16707
19,5083.928721296264,4322.061,44.148342,65.742386
20,3331.3417078543735,4156.834,48.104935,64.47351
21,2963.2630866670956,3759.6355,41.05002,61.31587
22,2805.5519303506603,3544.2925,42.427765,59.533962
23,2859.6115740958394,3426.0493,41.377277,58.532463
24,2891.790458467931,3893.1182,42.182606,62.394855
25,2776.8955427359765,3640.7075,40.238956,60.338276
26,2688.2914209240853,3688.368,40.97981,60.731934
27,2597.6660804855533,3405.6038,39.747223,58.35755
28,2608.009505883977,4064.3398,47.56043,63.752174
29,2596.9335965388977,3552.765,41.904037,59.605076
30,2532.1417757939194,3557.067,41.839863,59.64115
31,2527.1713410878974,3362.8147,38.751175,57.98978
32,2508.9695615817554,3348.3572,38.974873,57.86499
33,2474.8256213664645,3490.7258,41.38807,59.082363
34,2519.2120150604474,3353.0642,39.875687,57.90565
35,2468.6033059783117,3354.3472,40.391277,57.916725
36,2428.894886255544,3338.0693,38.647305,57.776028
37,2420.4856361234697,3297.4475,38.67938,57.423405
38,2415.2550511424124,3391.9844,38.107574,58.240746
39,2393.038706442394,3334.8933,39.39478,57.748535
40,2408.7401664827653,3301.0918,39.605797,57.455128
41,2330.0979401012946,3462.2666,38.275585,58.84103
42,2325.4453171564637,3314.4954,39.366405,57.571655
43,2292.2407573431683,3398.717,38.783756,58.298515
44,2287.0990077947704,3419.3628,39.816814,58.47532
45,2215.2515004395505,3245.7449,39.2253,56.97144
46,2119.843455186095,3468.1665,41.63165,58.89114
47,2032.8182597092493,3316.522,40.63603,57.589252
48,1936.990123391802,3508.8699,39.328358,59.235714
49,1836.7172409322968,3537.9932,41.67622,59.481033
50,1744.7766684631817,3369.4983,39.86477,58.04738
51,1640.9829690374806,3553.1755,40.701294,59.60852
52,1480.6766404484529,4043.2854,47.12295,63.586834
53,1407.0928346516314,3647.5476,42.675194,60.39493
54,1304.466142467565,3587.8223,41.693436,59.898434
55,1188.9697227277652,3810.6775,45.029373,61.730686
56,1115.046081483829,3772.011,41.686382,61.4167
57,883.7152163199984,3817.6978,42.620956,61.78752
58,871.8787062212743,4066.144,45.82649,63.766323
59,828.0537400870863,3934.1775,45.359318,62.723022
60,789.469473211664,3670.0134,41.50222,60.580635
61,747.5601996634298,3706.4548,42.255405,60.88066
62,741.7750318438609,3981.3547,43.76217,63.097977
63,676.7356984877101,3995.3477,43.309666,63.208763
64,692.1724213010659,3858.8643,42.228012,62.11976
65,656.6031998445587,4467.6196,48.220226,66.840256
66,637.5618911736161,4024.664,44.603676,63.44024
67,597.6422556275479,4004.293,42.978626,63.279484
68,516.5654694806539,4027.256,44.242832,63.460667
69,511.9891631580504,3971.0771,43.22651,63.016483
70,491.42653359101837,3954.623,42.336617,62.88579
