epoch,train_loss,val_mse,val_mae,val_rmse
1,17451.604505677293,14300.067,87.1498,119.582886
2,12839.173906723066,10921.525,74.696625,104.5061
3,10272.443674260045,9108.971,69.23999,95.440926
4,8977.876827836231,8275.252,67.807724,90.968414
5,8425.673856952504,7970.373,68.131966,89.27695
6,8241.656025170107,7888.0576,68.78156,88.814735
7,8195.907189357773,7873.3223,69.21738,88.73174
8,8187.2840700444285,7872.152,69.47478,88.72515
9,7439.393927597136,4895.8154,42.36694,69.9701
10,4299.138842807316,3491.8027,35.278046,59.091476
11,3207.2428692581525,2684.0303,31.656101,51.80763
12,2574.2496753209953,2307.178,28.959015,48.033092
13,2164.7135108167204,2241.8633,28.653973,47.34832
14,1871.1609677935182,1965.8883,27.30325,44.33834
15,1655.3842935669206,2012.0933,27.12759,44.85636
16,1538.8505354893678,2058.5583,27.908062,45.371338
17,1324.114786047254,1885.2585,26.600912,43.419563
18,1203.4529164625744,2065.8267,28.282495,45.451366
19,1076.8138409486196,1912.5963,27.711174,43.733242
20,989.6429612212785,1988.7017,26.992455,44.59486
21,923.5971668907985,2210.4534,28.530634,47.015457
22,821.0376105108221,2090.5554,27.994492,45.72259
23,765.5625382249317,1690.0013,26.47092,41.109627
24,719.1479834591107,2110.166,28.053286,45.936543
25,629.0549815497814,2179.7444,28.629152,46.687733
26,562.7759865262371,2275.023,29.414558,47.6972
27,496.038453938607,2279.6748,29.614853,47.74594
28,505.0119788366082,2200.4016,29.671968,46.90844
29,413.51859994221564,2274.5872,29.569715,47.69263
30,350.1556633864704,2269.4478,29.239723,47.63872
31,340.47262090088907,2296.0876,29.96966,47.917507
32,355.55380556720854,2705.7717,31.69475,52.017033
33,296.9948730295508,2385.4565,29.644667,48.841137
34,317.1446402068395,2619.626,30.875277,51.18228
35,251.68442079532758,2518.4353,30.127092,50.184013
36,224.63700520118547,2487.9797,30.1363,49.879654
37,207.45022223818958,2357.0767,29.31243,48.549732
38,194.33291563464996,2621.236,31.009396,51.19801
39,186.63523282940997,2521.8926,30.210112,50.21845
40,162.9772828006949,2577.7312,30.532078,50.771362
41,96.05782820132667,2410.5652,29.42316,49.097507
42,109.18345837179824,2532.0083,30.575794,50.319065
43,67.5962074867365,2647.0999,30.793972,51.449974
44,48.432893811039776,2791.6924,31.30866,52.836468
45,63.87564982913159,2652.6826,30.687254,51.5042
46,41.696657232036955,2595.7766,30.387047,50.948765
47,31.642273507082734,2743.4126,31.175955,52.377598
48,27.705715189308542,2621.2627,30.760893,51.19827
