epoch,train_loss,val_mse,val_mae,val_rmse
1,6162.553138493431,4005.1677,48.775154,63.286396
2,3564.346748404597,3306.0378,46.261375,57.498154
3,3342.3922905488607,3285.6492,46.49462,57.320583
4,3338.186741225163,3285.6765,46.491325,57.32082
5,3338.136134669558,3286.1843,46.591293,57.32525
6,3338.3618435329863,3285.6416,46.54599,57.320515
7,3338.4353894714814,3285.6094,46.540314,57.320236
8,3337.984049598209,3286.6755,46.61821,57.329536
9,3338.3309479810687,3285.5913,46.536354,57.320076
10,3338.4833412674943,3285.6533,46.547802,57.320618
11,3338.3704145399784,3285.6455,46.546837,57.32055
12,3367.1321672467593,3288.4895,46.392155,57.345352
13,3338.5040931015774,3286.0134,46.580795,57.32376
14,3338.4570481688693,3285.6711,46.491867,57.320774
15,3338.1455221570823,3285.7078,46.554893,57.321095
16,3338.084724445335,3285.558,46.52198,57.31979
17,3338.211340591692,3285.5605,46.52785,57.31981
18,4117.747288650733,5459.5986,57.11071,73.8891
19,2781.700977374963,1824.4851,31.993298,42.713993
20,1690.041966325587,1663.3074,31.528368,40.783665
21,1546.8483361333542,1454.4012,28.720205,38.136612
22,1507.9714648163704,1440.8021,28.979084,37.9579
23,1736.5831341460105,1448.7662,28.977913,38.06266
24,1415.6728249193727,1389.4264,28.540133,37.27501
25,1373.4756162188537,1446.3881,29.307606,38.03141
26,1351.8103820313452,1306.4365,27.333944,36.14466
27,1329.6723312589043,1421.9663,28.985977,37.70897
28,1309.2619643302912,1360.5579,27.884995,36.885742
29,1302.3100292647337,1293.0375,27.314735,35.95883
30,1289.4415151512717,1277.7274,26.992596,35.74531
31,1273.9096638469146,1338.6189,28.129961,36.587143
32,1255.9494644828142,1529.3541,29.95872,39.106956
33,1264.591639783967,1434.6864,28.595364,37.877254
34,1255.4166451609533,1322.6575,27.387413,36.36836
35,1246.9467010525948,1449.6749,30.324722,38.074596
36,1214.125550837914,1402.9521,29.386633,37.456
37,1211.350134068276,1268.7316,25.847809,35.61926
38,1275.6365628345086,1381.0049,28.95453,37.161873
39,1248.1410814300275,1368.9414,28.172405,36.999207
40,1203.0312891202354,1250.8937,26.6711,35.367977
41,1184.6562933797134,1189.4606,25.611565,34.488556
42,1153.7373117705095,1207.1571,25.125858,34.744167
43,1127.8285141935178,1156.6235,24.650085,34.009167
44,1109.6945024700656,1170.2139,24.807459,34.20839
45,1092.6244864111272,1143.1187,24.401524,33.81004
46,1083.478205155562,1558.1405,30.94016,39.47329
47,1066.8220015857312,1206.1846,25.664497,34.730167
48,1100.9973338421196,1239.457,26.42407,35.205925
49,1085.2915036793258,1386.295,27.90929,37.232983
50,1054.073288546988,1210.0432,25.04462,34.785675
51,1017.9197006871948,1244.0306,26.375925,35.270817
52,1020.6836578988532,1183.2507,25.145733,34.39841
53,1008.3533386464833,1220.9508,25.472128,34.94211
54,1008.715319290017,1198.0624,25.58355,34.613037
55,986.2861468445966,1211.8951,25.758575,34.812283
56,976.8321144084008,1416.2412,27.986826,37.63298
57,855.1406538268072,1244.5251,25.561375,35.27783
58,834.9643479207319,1205.9904,25.201647,34.72737
59,821.39179512508,1257.8246,26.074453,35.465824
60,810.7965239781003,1243.1418,25.759388,35.258217
61,786.642770266514,1223.0465,24.982155,34.97208
62,776.673721228845,1189.3608,25.229809,34.48711
63,761.5481407717492,1163.2882,24.578415,34.10701
64,748.1582224395933,1458.1709,28.53391,38.186005
65,733.7358746449864,1180.5277,24.809353,34.358807
66,711.42861634361,1292.7891,26.837877,35.955376
67,721.2935175567569,1218.441,25.433407,34.906174
68,640.8059010643144,1193.2008,24.443314,34.54274
69,629.576129719189,1196.0941,24.747694,34.584595
70,617.2487871220382,1219.4742,25.051443,34.92097
