epoch,train_loss,val_mse,val_mae,val_rmse
1,11748.329089848728,7786.646,66.23957,88.241974
2,6943.935892611735,6195.8125,62.48248,78.713486
3,6363.667231703613,6129.026,63.231255,78.28809
4,6348.824432112412,6128.8584,63.194683,78.287025
5,6349.0719827144085,6129.339,63.26632,78.29009
6,6349.112004984266,6130.2456,63.329617,78.29588
7,6349.121924294933,6128.8374,63.1815,78.28689
8,6349.259932144778,6128.846,63.16217,78.28695
9,6349.2819244816565,6128.878,63.20176,78.28715
10,6356.552021465703,6127.933,63.290867,78.28111
11,5424.1757912210205,3292.861,41.01194,57.383457
12,2890.7163567932403,2341.6033,33.678295,48.390114
13,2007.4158045032664,2397.2502,35.0201,48.961723
14,1172.5677141948868,2693.0627,36.86282,51.894726
15,635.8140361447939,2985.5417,38.42722,54.64011
16,427.9051635664386,2984.0215,39.126713,54.626198
17,301.907668211179,3027.9526,40.10938,55.026836
18,241.00012619961896,3112.5466,39.935287,55.790203
19,176.74692966945008,2914.726,38.638382,53.988205
20,160.27679503567893,2922.9026,38.64487,54.063873
21,133.4559535465277,3030.2546,39.09633,55.04775
22,89.77039966007035,3092.6062,39.840164,55.611206
23,109.40542841860866,3195.9788,40.236404,56.53299
24,46.69667720267088,3126.9668,39.590633,55.91929
25,36.87454229166433,3287.3962,40.954395,57.33582
26,65.36697919034745,3264.5374,40.71076,57.13613
27,30.393324125689865,3285.673,40.74621,57.32079
28,25.971029145317978,3190.3145,40.31368,56.48287
29,24.68297834699058,3267.1038,40.534748,57.158585
30,21.721716736744284,3281.948,40.949165,57.28829
31,19.543075563833163,3240.397,40.6424,56.924484
32,18.25900285707453,3302.1597,40.890163,57.46442
33,15.56363061631387,3193.1753,40.093678,56.508186
34,57.40982982667105,3197.5437,41.678993,56.54683
35,16.655119709138887,3177.211,40.314026,56.366753
36,12.064440961926511,3227.8113,40.70072,56.81383
37,11.056237547286687,3268.3335,40.920746,57.169342
