fold,mse,mae,rmse,hist
1,931.4021,21.356684,30.51888,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD001_RNN_fold1_hist.csv
2,1008.16174,20.873077,31.751562,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD001_RNN_fold2_hist.csv
3,622.1616,16.937145,24.943169,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD001_RNN_fold3_hist.csv
4,1107.5315,23.846483,33.279594,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD001_RNN_fold4_hist.csv
5,694.63666,18.140198,26.35596,C:\Users\David\Documents\Master-Big-Data-Data-Sciencee-e-Inteligencia-Artificial\TFM\AeroGPT\data\CMAPSS\metrics_4\FD001_RNN_fold5_hist.csv
