epoch,train_loss,val_mse,val_mae,val_rmse
1,17741.3790997577,14602.689,88.424706,120.84159
2,13076.693201439699,11113.753,75.43836,105.42178
3,10421.705200457101,9232.975,69.64028,96.08837
4,9057.77228119678,8352.77,67.98845,91.393486
5,8463.606201141076,8023.374,68.26924,89.57329
6,8261.721791301683,7931.647,68.938,89.05979
7,8210.962860935135,7918.4165,69.4239,88.98548
8,8203.58422820764,7917.7236,69.65269,88.98159
9,7549.061950244713,4783.456,43.17907,69.16254
10,4428.776990597676,3787.1804,39.132793,61.540073
11,3654.4402787742843,3060.224,35.392353,55.319294
12,3261.616533091018,2964.9558,35.976856,54.45141
13,3069.5966852620495,2777.3918,35.47418,52.700966
14,2943.3247259416,2939.1326,37.352596,54.213768
15,2799.1622608117923,2493.8125,33.56897,49.938087
16,2710.902490674795,2602.1785,33.924835,51.01155
17,2594.4811461501486,3055.7976,38.441982,55.27927
18,2538.562152483822,2518.2385,33.276695,50.182053
19,2445.918494359172,2623.6013,34.388126,51.221104
20,2369.0351207545955,2661.065,34.923782,51.58551
21,2474.789802513734,2569.1572,33.587234,50.686855
22,2588.033462988318,2517.3574,34.208015,50.173275
23,2236.3024973950533,3017.2239,36.112602,54.929264
24,2007.0487903812966,2727.938,33.797165,52.229668
25,2045.4092291654758,2823.566,35.054497,53.137238
26,2230.6700874483568,2554.8145,33.581448,50.545174
27,1768.1376087067933,2836.799,33.259426,53.26161
28,1664.6364717913016,2964.867,33.78884,54.450592
29,1743.437963457566,2512.6013,31.67531,50.125854
30,1674.4952931399903,2904.3164,33.57824,53.89171
31,1525.1848157928648,3030.1938,34.504044,55.047195
32,1471.7728863587758,2856.203,33.5116,53.443455
33,1423.5368388553609,3191.1736,35.04583,56.490475
34,1465.2764825591137,2945.523,33.058308,54.27267
35,1460.3510147466234,2801.7644,34.33362,52.931694
36,1430.6784770220154,3166.2393,34.561123,56.269344
37,1570.9013803077103,2937.7605,36.134354,54.20111
38,1967.5833642987748,2910.0645,34.056084,53.945015
39,1716.2452830842424,2680.8826,32.54649,51.77724
40,1629.3059942852553,2656.343,32.444008,51.539722
