epoch,train_loss,val_mse,val_mae,val_rmse
1,7843.58514195638,6372.4604,60.400967,79.82769
2,5231.626613447711,4477.8613,48.53543,66.916824
3,3860.091400015466,3512.6235,43.083927,59.26739
4,3105.8874081978456,2514.7861,32.49186,50.147644
5,2048.19648945269,1806.9242,25.85921,42.50793
6,1482.7702800103525,1377.9543,21.88448,37.120808
7,1130.3678748879454,1100.2318,18.97593,33.169743
8,915.451228727273,1023.38794,18.54517,31.990435
9,771.1431483558222,883.39813,17.545898,29.722013
10,659.2605226492158,896.5917,17.741638,29.94314
11,553.811834687439,852.5753,18.172499,29.198893
12,478.89507724393775,870.9846,17.656971,29.51245
13,415.36932533142544,828.07007,17.310928,28.776207
14,348.9554211189948,851.5246,17.37828,29.180895
15,307.8244650087555,803.7972,17.665688,28.351316
16,256.7124228117329,939.66833,18.39171,30.65401
17,181.08310385473698,982.2358,18.2949,31.340641
18,168.59555836272818,1064.421,19.10219,32.625465
19,124.99026782957354,1087.9915,19.477419,32.984715
20,81.7467479114408,1090.6176,18.896152,33.024498
21,66.22803096919849,1064.8052,19.197258,32.63135
22,49.61883312758514,1116.1113,19.604221,33.408253
23,39.570600839445184,1188.9487,19.906668,34.481136
24,39.39895081425305,1064.2526,18.767027,32.622883
25,90.43931707347932,975.3054,18.595182,31.22988
26,27.333581252305834,1020.4173,19.09755,31.943972
27,18.117531848969797,991.062,18.943377,31.481138
28,15.457371021548218,1014.2323,19.061193,31.847013
29,13.450395032547865,1033.1969,19.13156,32.14338
30,11.817721384051001,1006.82855,19.280895,31.730562
31,10.558360706965635,1016.8155,19.173588,31.887545
32,9.738008662520427,1022.5506,19.377352,31.977345
33,10.579482714044477,1034.6613,19.264256,32.16615
34,7.616584384530465,1031.3394,19.240263,32.11447
35,6.684084544331191,1034.5518,19.156738,32.164448
36,6.248861928000551,980.7704,18.960035,31.317253
37,6.1708116785371825,1018.40564,19.097397,31.912468
38,4.215553118856937,1001.88806,19.067444,31.652615
39,3.622368751923332,1004.3568,19.079874,31.69159
40,3.326629616693314,1011.93896,19.178638,31.810987
