epoch,train_loss,val_mse,val_mae,val_rmse
1,7667.306806371491,6677.791,61.60838,81.71775
2,5223.2111000277355,4916.8057,52.309914,70.119934
3,3997.4147953096767,4073.9224,48.38577,63.827286
4,3464.4325383473933,3736.4478,47.228184,61.12649
5,3275.86034831466,3626.4836,47.134377,60.22029
6,3226.2559518075595,3599.03,47.258152,59.991917
7,3217.0855159788302,3592.9788,47.344048,59.94146
8,3215.9046149694286,3591.7395,47.37639,59.93112
9,3215.9193067437805,3591.3828,47.387794,59.928146
10,3215.7515743589793,3590.5166,47.426502,59.92092
11,3215.956284595799,3592.3057,47.36054,59.935844
12,2511.8365928850467,1768.9044,24.462055,42.058346
13,1098.3904068929949,1196.9753,19.537666,34.597332
14,776.3601756362121,1071.5223,19.70646,32.734116
15,637.7455655251644,988.5764,18.571814,31.441635
16,538.40644306228,993.0839,20.073942,31.513233
17,434.09094936566873,1070.1517,19.595463,32.713173
18,328.6615354016704,1204.6201,20.24516,34.707638
19,245.27754578201456,1247.9802,21.08341,35.326763
20,198.37026827992992,1220.5138,21.709616,34.935852
21,135.90210888253412,1274.5989,22.071611,35.701527
22,103.20582745866925,1335.3557,21.916237,36.54252
23,87.03719917709705,1307.7101,21.916367,36.162273
24,61.0340570851719,1365.5806,22.559237,36.953762
25,52.87864282714223,1344.7736,22.985285,36.671154
26,41.89013570220938,1339.2307,22.76734,36.5955
27,30.65477476217703,1354.0208,22.349571,36.79702
28,27.102068937872886,1354.1259,22.30361,36.79845
29,24.765260058242365,1362.5612,22.466103,36.912888
30,22.012069381757495,1344.893,22.4476,36.672783
31,20.978705424177818,1354.6433,22.4987,36.80548
32,18.032404566632962,1336.1617,22.54067,36.553547
33,16.602262762880297,1339.0576,22.366835,36.593136
34,14.273292295870851,1353.2472,22.612415,36.786507
35,13.035503998276882,1380.4738,22.653154,37.154728
36,11.87495962680262,1394.9402,22.652224,37.3489
37,10.30744318348204,1389.4382,22.723627,37.27517
38,8.4118117116668,1375.197,22.54629,37.08365
39,7.870210438230628,1350.7476,22.545353,36.752518
40,7.445730398176737,1370.7122,22.635862,37.02313
