epoch,train_loss,val_mse,val_mae,val_rmse
1,7833.00913833082,6421.8447,61.21971,80.13641
2,5347.320955441172,4663.8364,51.73045,68.29229
3,4093.6776225726467,3818.6497,47.636436,61.795223
4,3538.0286994408793,3485.0554,46.39051,59.03436
5,3342.948637261302,3381.3035,46.25675,58.148975
6,3288.622559292515,3356.0051,46.373276,57.931038
7,3277.8174832211066,3351.8655,46.447845,57.895298
8,3276.1740438103734,3351.0505,46.480614,57.88826
9,3275.992461493406,3350.89,46.489605,57.88687
10,3275.8841267793655,3350.5437,46.519802,57.88388
11,3276.0015301200197,3350.4807,46.537086,57.88334
12,3243.763326762875,3344.776,46.54883,57.834038
13,2337.4269289667873,1603.8386,25.633938,40.047955
14,1140.255115758332,998.3882,19.122189,31.59728
15,834.9593847283576,834.4263,18.219082,28.886438
16,701.9077642061388,781.7738,17.57181,27.960218
17,630.8565156438958,755.08105,17.123411,27.478739
18,569.084912448567,768.45734,16.943094,27.721064
19,569.7858793647173,769.7735,17.494648,27.744793
20,521.9882315018348,756.57007,16.941475,27.50582
21,478.6457288356592,779.65753,16.591415,27.922348
22,457.64095448939634,768.8523,16.537897,27.728186
23,421.6247156440103,749.36475,16.434122,27.374527
24,400.35341291629294,740.8552,16.258736,27.218657
25,356.49906400649303,753.79877,16.156322,27.455397
26,306.3307470417796,778.2319,16.78951,27.896807
27,284.3941507847477,747.9154,16.902918,27.348042
28,232.46741052931756,815.2707,17.34955,28.552946
29,205.48988718599068,756.68726,16.55874,27.50795
30,189.88289277302212,781.6598,16.85925,27.95818
31,129.48760284651897,792.6849,16.584133,28.15466
32,167.29814996945308,765.5791,16.921284,27.6691
33,108.4678339995343,802.42395,17.081345,28.32709
34,91.6830970544583,803.4618,17.60847,28.345402
35,75.93202160462076,770.1415,17.47724,27.751423
36,59.13377579810187,810.6111,17.233833,28.471233
37,56.55273838137231,812.71423,17.507446,28.508142
38,48.691982949838234,791.55743,17.121738,28.13463
39,43.614959655836934,759.13525,16.731264,27.55241
40,40.450866292819136,880.28375,17.696423,29.669577
41,40.560020687887565,884.267,17.826164,29.736628
42,34.049805079948584,842.98285,17.338734,29.034166
43,31.458773471797702,854.5199,17.681097,29.232172
44,28.591266994655257,843.02515,17.251245,29.034895
45,26.955758986895404,860.4476,17.616114,29.333387
46,24.30409929873284,839.8619,17.379763,28.980371
47,20.378738620926075,833.5592,17.533422,28.871426
48,18.700739434876567,871.6911,17.756927,29.524416
49,18.20192784639625,812.67847,17.409124,28.507517
