epoch,train_loss,val_mse,val_mae,val_rmse
1,6073.589317789604,4108.6,48.9666,64.098366
2,3529.8698896989144,3417.094,46.5443,58.455914
3,3314.7624016175487,3393.9915,46.78672,58.257973
4,3311.2265514879273,3393.7888,46.818096,58.256233
5,3311.210418221254,3393.783,46.83604,58.256184
6,3311.2575585377967,3393.8381,46.805973,58.256657
7,3311.6967260036818,3393.2788,46.75363,58.251858
8,3316.8790908956707,3393.8193,46.81114,58.256496
9,3310.9305652663516,3394.371,46.762268,58.26123
10,3311.2339502911473,3393.8745,46.788017,58.25697
11,3312.5974130320083,3393.779,46.82025,58.25615
12,3104.9621635603494,1960.453,30.778692,44.277004
13,1349.3696950084477,1153.4884,22.864012,33.963043
14,922.0318115636167,1141.1013,22.587664,33.78019
15,736.6606490253661,1172.8589,22.848282,34.24703
16,434.2382663167367,1257.3824,22.78737,35.459587
17,241.491498290279,1289.3667,23.457039,35.907753
18,143.28541595866358,1347.4503,24.509075,36.707634
19,90.97777801145362,1460.4894,25.304457,38.21635
20,67.3009144779416,1443.7153,25.663975,37.996254
21,47.1998582065912,1475.2416,25.74709,38.408875
22,40.310752757973574,1486.6188,25.895279,38.556694
23,29.54520890829869,1463.4976,26.07429,38.255688
24,24.781339189417114,1528.7886,26.371504,39.099728
25,20.7492062672019,1537.637,26.826717,39.212715
26,11.654960572450724,1570.1118,27.136803,39.624638
27,10.521192122185854,1571.6188,27.066818,39.643646
28,10.106273992576353,1571.8835,27.11988,39.646988
29,9.283685843944259,1559.4708,27.197742,39.490135
30,8.445271764283468,1561.6588,27.15477,39.51783
31,7.7417063982795105,1595.2869,27.48349,39.941044
32,6.979149754361584,1583.2837,27.290503,39.790497
33,6.560008046221009,1593.7391,27.538765,39.92166
34,6.0183236082486955,1570.7189,27.645304,39.632298
35,5.88792229210271,1579.3156,27.403374,39.740604
36,4.990331958361287,1595.8615,27.545761,39.948235
37,3.4476916885631748,1589.4818,27.623419,39.868305
38,3.4301034808086213,1605.3267,27.639816,40.06653
39,3.2147803896595093,1603.8015,27.853556,40.04749
