epoch,train_loss,val_mse,val_mae,val_rmse
1,7881.070016985855,5992.1772,60.06235,77.40916
2,5422.63574684371,4290.5815,50.694042,65.50253
3,4169.487318345717,3482.2053,46.66064,59.010212
4,3612.6830280204526,3170.1968,45.445435,56.3045
5,3413.6777688309558,3082.8167,45.351177,55.523117
6,3360.3943476401087,3066.2046,45.48418,55.37332
7,3350.5282110467656,3066.1067,45.577484,55.372437
8,4898.561998060533,8059.501,70.81241,89.77473
9,7600.435924028032,6484.441,62.199276,80.526024
10,6334.591785389682,5548.184,56.828636,74.48613
11,5509.769910265516,4851.714,51.66317,69.65424
12,4884.636416406746,4242.226,47.201134,65.13237
13,4118.822068512099,3512.2708,43.300465,59.264416
14,3435.891351679216,2880.1926,36.380733,53.667427
15,2835.615356522916,2290.224,31.613073,47.856285
16,2305.118554602136,1872.0472,28.503584,43.267162
17,1909.4651086544127,1451.8109,24.999842,38.10264
18,1550.2755948968245,1201.012,23.15844,34.65562
19,1365.766516509059,1011.6778,21.487846,31.806883
20,1268.8136501615395,954.3876,20.55278,30.893164
21,1233.03498241815,937.9146,20.901869,30.625391
22,1195.1532652916153,856.75256,19.70894,29.270336
23,1180.4653479399685,896.09564,20.506735,29.934856
24,1153.5912961771892,1043.6,22.154688,32.3048
25,1217.5063710149047,953.1468,21.626608,30.873075
26,1147.1308277127703,844.69135,20.29731,29.063574
27,1131.2263685688424,921.5434,21.7644,30.356934
28,1197.2745213105432,913.8813,20.644619,30.230469
29,1155.978916835118,854.6702,20.102057,29.234743
30,1189.0691428211792,769.55115,18.688473,27.740786
31,1117.042663225003,785.6124,19.451939,28.028778
32,1122.466936891123,845.6896,20.649,29.080742
33,1109.2506411989555,755.6816,19.27757,27.489664
34,1095.778817828567,809.8456,20.087439,28.457787
35,1071.3406967677208,770.20734,19.586176,27.75261
36,1092.9107423892692,751.7324,19.265171,27.41774
37,1074.9418565055328,879.53735,21.22859,29.656996
38,1180.010562108568,851.9992,20.806868,29.189026
39,1102.158744176633,785.4992,19.59728,28.026758
40,1109.5096679221879,832.6328,20.536913,28.855377
41,1071.4405610702331,777.08875,19.668339,27.876312
42,1049.5939780572987,694.63666,18.140198,26.35596
43,1024.7652683730953,741.98157,19.560274,27.239338
44,1012.0419554228398,885.67395,20.424791,29.760275
45,1038.0877538779248,861.45795,20.530403,29.350603
46,1039.1942124703244,809.0525,19.840433,28.443848
47,1064.3494715123743,764.2392,19.223316,27.644876
48,1041.4908869816707,797.6004,19.031733,28.24182
49,1027.5475866241359,757.1204,18.99829,27.515821
50,1023.7449398246906,740.8538,18.869009,27.21863
51,1022.7706380311805,722.3591,18.735823,26.876738
52,1026.491967144849,699.4787,18.868996,26.44766
53,1036.6964476452613,901.39514,20.727652,30.023243
54,1046.4908822866587,745.3171,18.75219,27.300495
55,954.8260998977496,874.093,21.20291,29.565063
56,1025.8450455905067,734.12274,18.466583,27.0947
57,988.0279201500293,870.3348,20.42631,29.501436
58,961.5541934566897,727.4029,18.522423,26.970407
59,877.9276265061288,975.918,21.865473,31.239687
60,818.5832385665204,777.32446,19.517101,27.880539
61,884.4238042231207,844.7814,20.511295,29.065123
62,1032.1660701996645,724.59174,18.6332,26.918242
63,999.4866361333092,724.2105,18.586178,26.91116
64,986.3685015989427,698.98553,18.681555,26.438335
65,960.3855005204867,732.04694,18.805664,27.056366
66,953.0875921231201,739.1946,18.870266,27.188133
67,946.7370967489098,772.77423,19.454268,27.798817
